"Statistic Label","Census Year","CSO Small Areas 2022","Age","Sex","UNIT","VALUE"
"Population","2022","177058017","Age 0-4","Males","Number","8"
"Population","2022","177058017","Age 0-4","Females","Number","8"
"Population","2022","177058017","Age 0-4","Both Sexes","Number","16"
"Population","2022","267001008","Age 0-4","Males","Number","12"
"Population","2022","267001008","Age 0-4","Females","Number","8"
"Population","2022","267001008","Age 0-4","Both Sexes","Number","20"
"Population","2022","268093001","Age 0-4","Males","Number","17"
"Population","2022","268093001","Age 0-4","Females","Number","13"
"Population","2022","268093001","Age 0-4","Both Sexes","Number","30"
"Population","2022","268021003","Age 0-4","Males","Number","7"
"Population","2022","268021003","Age 0-4","Females","Number","5"
"Population","2022","268021003","Age 0-4","Both Sexes","Number","12"
"Population","2022","167042005/01","Age 0-4","Males","Number","14"
"Population","2022","167042005/01","Age 0-4","Females","Number","18"
"Population","2022","167042005/01","Age 0-4","Both Sexes","Number","32"
"Population","2022","047072016","Age 0-4","Males","Number","4"
"Population","2022","047072016","Age 0-4","Females","Number","7"
"Population","2022","047072016","Age 0-4","Both Sexes","Number","11"
"Population","2022","267132001/03","Age 0-4","Males","Number","28"
"Population","2022","267132001/03","Age 0-4","Females","Number","28"
"Population","2022","267132001/03","Age 0-4","Both Sexes","Number","56"
"Population","2022","067017010","Age 0-4","Males","Number","12"
"Population","2022","067017010","Age 0-4","Females","Number","2"
"Population","2022","067017010","Age 0-4","Both Sexes","Number","14"
"Population","2022","067076001","Age 0-4","Males","Number","4"
"Population","2022","067076001","Age 0-4","Females","Number","4"
"Population","2022","067076001","Age 0-4","Both Sexes","Number","8"
"Population","2022","047090003","Age 0-4","Males","Number","12"
"Population","2022","047090003","Age 0-4","Females","Number","6"
"Population","2022","047090003","Age 0-4","Both Sexes","Number","18"
"Population","2022","187071001/03","Age 0-4","Males","Number","6"
"Population","2022","187071001/03","Age 0-4","Females","Number","3"
"Population","2022","187071001/03","Age 0-4","Both Sexes","Number","9"
"Population","2022","268046012","Age 0-4","Males","Number","2"
"Population","2022","268046012","Age 0-4","Females","Number","8"
"Population","2022","268046012","Age 0-4","Both Sexes","Number","10"
"Population","2022","267026002","Age 0-4","Males","Number","8"
"Population","2022","267026002","Age 0-4","Females","Number","5"
"Population","2022","267026002","Age 0-4","Both Sexes","Number","13"
"Population","2022","068016002","Age 0-4","Males","Number","10"
"Population","2022","068016002","Age 0-4","Females","Number","6"
"Population","2022","068016002","Age 0-4","Both Sexes","Number","16"
"Population","2022","268016015/268016018","Age 0-4","Males","Number","17"
"Population","2022","268016015/268016018","Age 0-4","Females","Number","24"
"Population","2022","268016015/268016018","Age 0-4","Both Sexes","Number","41"
"Population","2022","267001011","Age 0-4","Males","Number","6"
"Population","2022","267001011","Age 0-4","Females","Number","2"
"Population","2022","267001011","Age 0-4","Both Sexes","Number","8"
"Population","2022","247090008","Age 0-4","Males","Number","6"
"Population","2022","247090008","Age 0-4","Females","Number","8"
"Population","2022","247090008","Age 0-4","Both Sexes","Number","14"
"Population","2022","057085002","Age 0-4","Males","Number","5"
"Population","2022","057085002","Age 0-4","Females","Number","1"
"Population","2022","057085002","Age 0-4","Both Sexes","Number","6"
"Population","2022","267158009","Age 0-4","Males","Number","12"
"Population","2022","267158009","Age 0-4","Females","Number","12"
"Population","2022","267158009","Age 0-4","Both Sexes","Number","24"
"Population","2022","267140007","Age 0-4","Males","Number","6"
"Population","2022","267140007","Age 0-4","Females","Number","8"
"Population","2022","267140007","Age 0-4","Both Sexes","Number","14"
"Population","2022","057004007","Age 0-4","Males","Number","6"
"Population","2022","057004007","Age 0-4","Females","Number","9"
"Population","2022","057004007","Age 0-4","Both Sexes","Number","15"
"Population","2022","268152003","Age 0-4","Males","Number","4"
"Population","2022","268152003","Age 0-4","Females","Number","6"
"Population","2022","268152003","Age 0-4","Both Sexes","Number","10"
"Population","2022","147043002","Age 0-4","Males","Number","11"
"Population","2022","147043002","Age 0-4","Females","Number","9"
"Population","2022","147043002","Age 0-4","Both Sexes","Number","20"
"Population","2022","067035003","Age 0-4","Males","Number","4"
"Population","2022","067035003","Age 0-4","Females","Number","2"
"Population","2022","067035003","Age 0-4","Both Sexes","Number","6"
"Population","2022","137043007","Age 0-4","Males","Number","20"
"Population","2022","137043007","Age 0-4","Females","Number","18"
"Population","2022","137043007","Age 0-4","Both Sexes","Number","38"
"Population","2022","267100075","Age 0-4","Males","Number","6"
"Population","2022","267100075","Age 0-4","Females","Number","9"
"Population","2022","267100075","Age 0-4","Both Sexes","Number","15"
"Population","2022","057114012","Age 0-4","Males","Number","5"
"Population","2022","057114012","Age 0-4","Females","Number","7"
"Population","2022","057114012","Age 0-4","Both Sexes","Number","12"
"Population","2022","268031011","Age 0-4","Males","Number","15"
"Population","2022","268031011","Age 0-4","Females","Number","7"
"Population","2022","268031011","Age 0-4","Both Sexes","Number","22"
"Population","2022","267158013","Age 0-4","Males","Number","17"
"Population","2022","267158013","Age 0-4","Females","Number","9"
"Population","2022","267158013","Age 0-4","Both Sexes","Number","26"
"Population","2022","057125003/02","Age 0-4","Males","Number","1"
"Population","2022","057125003/02","Age 0-4","Females","Number","5"
"Population","2022","057125003/02","Age 0-4","Both Sexes","Number","6"
"Population","2022","067170006","Age 0-4","Males","Number","1"
"Population","2022","067170006","Age 0-4","Females","Number","3"
"Population","2022","067170006","Age 0-4","Both Sexes","Number","4"
"Population","2022","157016010","Age 0-4","Males","Number","6"
"Population","2022","157016010","Age 0-4","Females","Number","7"
"Population","2022","157016010","Age 0-4","Both Sexes","Number","13"
"Population","2022","027092002/02","Age 0-4","Males","Number","8"
"Population","2022","027092002/02","Age 0-4","Females","Number","5"
"Population","2022","027092002/02","Age 0-4","Both Sexes","Number","13"
"Population","2022","157152005","Age 0-4","Males","Number","2"
"Population","2022","157152005","Age 0-4","Females","Number","6"
"Population","2022","157152005","Age 0-4","Both Sexes","Number","8"
"Population","2022","268025004","Age 0-4","Males","Number","9"
"Population","2022","268025004","Age 0-4","Females","Number","5"
"Population","2022","268025004","Age 0-4","Both Sexes","Number","14"
"Population","2022","037139001","Age 0-4","Males","Number","5"
"Population","2022","037139001","Age 0-4","Females","Number","6"
"Population","2022","037139001","Age 0-4","Both Sexes","Number","11"
"Population","2022","107053001","Age 0-4","Males","Number","7"
"Population","2022","107053001","Age 0-4","Females","Number","14"
"Population","2022","107053001","Age 0-4","Both Sexes","Number","21"
"Population","2022","147034001","Age 0-4","Males","Number","7"
"Population","2022","147034001","Age 0-4","Females","Number","7"
"Population","2022","147034001","Age 0-4","Both Sexes","Number","14"
"Population","2022","097048007","Age 0-4","Males","Number","14"
"Population","2022","097048007","Age 0-4","Females","Number","9"
"Population","2022","097048007","Age 0-4","Both Sexes","Number","23"
"Population","2022","207019006","Age 0-4","Males","Number","6"
"Population","2022","207019006","Age 0-4","Females","Number","5"
"Population","2022","207019006","Age 0-4","Both Sexes","Number","11"
"Population","2022","047296001","Age 0-4","Males","Number","11"
"Population","2022","047296001","Age 0-4","Females","Number","9"
"Population","2022","047296001","Age 0-4","Both Sexes","Number","20"
"Population","2022","117009003","Age 0-4","Males","Number","11"
"Population","2022","117009003","Age 0-4","Females","Number","17"
"Population","2022","117009003","Age 0-4","Both Sexes","Number","28"
"Population","2022","157097004","Age 0-4","Males","Number","6"
"Population","2022","157097004","Age 0-4","Females","Number","5"
"Population","2022","157097004","Age 0-4","Both Sexes","Number","11"
"Population","2022","127018009","Age 0-4","Males","Number","8"
"Population","2022","127018009","Age 0-4","Females","Number","4"
"Population","2022","127018009","Age 0-4","Both Sexes","Number","12"
"Population","2022","068015009","Age 0-4","Males","Number","22"
"Population","2022","068015009","Age 0-4","Females","Number","20"
"Population","2022","068015009","Age 0-4","Both Sexes","Number","42"
"Population","2022","247019002","Age 0-4","Males","Number","6"
"Population","2022","247019002","Age 0-4","Females","Number","3"
"Population","2022","247019002","Age 0-4","Both Sexes","Number","9"
"Population","2022","267112008/03","Age 0-4","Males","Number","25"
"Population","2022","267112008/03","Age 0-4","Females","Number","25"
"Population","2022","267112008/03","Age 0-4","Both Sexes","Number","50"
"Population","2022","257005003","Age 0-4","Males","Number","8"
"Population","2022","257005003","Age 0-4","Females","Number","8"
"Population","2022","257005003","Age 0-4","Both Sexes","Number","16"
"Population","2022","268017004","Age 0-4","Males","Number","8"
"Population","2022","268017004","Age 0-4","Females","Number","3"
"Population","2022","268017004","Age 0-4","Both Sexes","Number","11"
"Population","2022","057015001","Age 0-4","Males","Number","13"
"Population","2022","057015001","Age 0-4","Females","Number","8"
"Population","2022","057015001","Age 0-4","Both Sexes","Number","21"
"Population","2022","237106019","Age 0-4","Males","Number","6"
"Population","2022","237106019","Age 0-4","Females","Number","3"
"Population","2022","237106019","Age 0-4","Both Sexes","Number","9"
"Population","2022","147031002","Age 0-4","Males","Number","9"
"Population","2022","147031002","Age 0-4","Females","Number","5"
"Population","2022","147031002","Age 0-4","Both Sexes","Number","14"
"Population","2022","267149006","Age 0-4","Males","Number","7"
"Population","2022","267149006","Age 0-4","Females","Number","13"
"Population","2022","267149006","Age 0-4","Both Sexes","Number","20"
"Population","2022","227062001","Age 0-4","Males","Number","2"
"Population","2022","227062001","Age 0-4","Females","Number","2"
"Population","2022","227062001","Age 0-4","Both Sexes","Number","4"
"Population","2022","047277003","Age 0-4","Males","Number","3"
"Population","2022","047277003","Age 0-4","Females","Number","7"
"Population","2022","047277003","Age 0-4","Both Sexes","Number","10"
"Population","2022","268052002","Age 0-4","Males","Number","4"
"Population","2022","268052002","Age 0-4","Females","Number","7"
"Population","2022","268052002","Age 0-4","Both Sexes","Number","11"
"Population","2022","077148002","Age 0-4","Males","Number","10"
"Population","2022","077148002","Age 0-4","Females","Number","6"
"Population","2022","077148002","Age 0-4","Both Sexes","Number","16"
"Population","2022","047222006/02","Age 0-4","Males","Number","25"
"Population","2022","047222006/02","Age 0-4","Females","Number","28"
"Population","2022","047222006/02","Age 0-4","Both Sexes","Number","53"
"Population","2022","217129004","Age 0-4","Males","Number","9"
"Population","2022","217129004","Age 0-4","Females","Number","3"
"Population","2022","217129004","Age 0-4","Both Sexes","Number","12"
"Population","2022","048001004","Age 0-4","Males","Number","5"
"Population","2022","048001004","Age 0-4","Females","Number","4"
"Population","2022","048001004","Age 0-4","Both Sexes","Number","9"
"Population","2022","257004029","Age 0-4","Males","Number","3"
"Population","2022","257004029","Age 0-4","Females","Number","2"
"Population","2022","257004029","Age 0-4","Both Sexes","Number","5"
"Population","2022","047235017/02","Age 0-4","Males","Number","17"
"Population","2022","047235017/02","Age 0-4","Females","Number","16"
"Population","2022","047235017/02","Age 0-4","Both Sexes","Number","33"
"Population","2022","087050015","Age 0-4","Males","Number","10"
"Population","2022","087050015","Age 0-4","Females","Number","12"
"Population","2022","087050015","Age 0-4","Both Sexes","Number","22"
"Population","2022","047072023","Age 0-4","Males","Number","17"
"Population","2022","047072023","Age 0-4","Females","Number","20"
"Population","2022","047072023","Age 0-4","Both Sexes","Number","37"
"Population","2022","097032002","Age 0-4","Males","Number","6"
"Population","2022","097032002","Age 0-4","Females","Number","2"
"Population","2022","097032002","Age 0-4","Both Sexes","Number","8"
"Population","2022","217006005","Age 0-4","Males","Number","8"
"Population","2022","217006005","Age 0-4","Females","Number","12"
"Population","2022","217006005","Age 0-4","Both Sexes","Number","20"
"Population","2022","047095002","Age 0-4","Males","Number","4"
"Population","2022","047095002","Age 0-4","Females","Number","7"
"Population","2022","047095002","Age 0-4","Both Sexes","Number","11"
"Population","2022","267050007","Age 0-4","Males","Number","11"
"Population","2022","267050007","Age 0-4","Females","Number","13"
"Population","2022","267050007","Age 0-4","Both Sexes","Number","24"
"Population","2022","237004006","Age 0-4","Males","Number","11"
"Population","2022","237004006","Age 0-4","Females","Number","11"
"Population","2022","237004006","Age 0-4","Both Sexes","Number","22"
"Population","2022","217041004/02","Age 0-4","Males","Number","8"
"Population","2022","217041004/02","Age 0-4","Females","Number","9"
"Population","2022","217041004/02","Age 0-4","Both Sexes","Number","17"
"Population","2022","267063001","Age 0-4","Males","Number","4"
"Population","2022","267063001","Age 0-4","Females","Number","5"
"Population","2022","267063001","Age 0-4","Both Sexes","Number","9"
"Population","2022","267100018","Age 0-4","Males","Number","8"
"Population","2022","267100018","Age 0-4","Females","Number","12"
"Population","2022","267100018","Age 0-4","Both Sexes","Number","20"
"Population","2022","268093007","Age 0-4","Males","Number","7"
"Population","2022","268093007","Age 0-4","Females","Number","4"
"Population","2022","268093007","Age 0-4","Both Sexes","Number","11"
"Population","2022","217164005","Age 0-4","Males","Number","5"
"Population","2022","217164005","Age 0-4","Females","Number","10"
"Population","2022","217164005","Age 0-4","Both Sexes","Number","15"
"Population","2022","267109001","Age 0-4","Males","Number","6"
"Population","2022","267109001","Age 0-4","Females","Number","7"
"Population","2022","267109001","Age 0-4","Both Sexes","Number","13"
"Population","2022","147014038","Age 0-4","Males","Number","6"
"Population","2022","147014038","Age 0-4","Females","Number","3"
"Population","2022","147014038","Age 0-4","Both Sexes","Number","9"
"Population","2022","047093001","Age 0-4","Males","Number","14"
"Population","2022","047093001","Age 0-4","Females","Number","11"
"Population","2022","047093001","Age 0-4","Both Sexes","Number","25"
"Population","2022","087066048","Age 0-4","Males","Number","7"
"Population","2022","087066048","Age 0-4","Females","Number","5"
"Population","2022","087066048","Age 0-4","Both Sexes","Number","12"
"Population","2022","017038003","Age 0-4","Males","Number","11"
"Population","2022","017038003","Age 0-4","Females","Number","12"
"Population","2022","017038003","Age 0-4","Both Sexes","Number","23"
"Population","2022","128010002","Age 0-4","Males","Number","6"
"Population","2022","128010002","Age 0-4","Females","Number","10"
"Population","2022","128010002","Age 0-4","Both Sexes","Number","16"
"Population","2022","157108004","Age 0-4","Males","Number","5"
"Population","2022","157108004","Age 0-4","Females","Number","2"
"Population","2022","157108004","Age 0-4","Both Sexes","Number","7"
"Population","2022","268072007","Age 0-4","Males","Number","5"
"Population","2022","268072007","Age 0-4","Females","Number","6"
"Population","2022","268072007","Age 0-4","Both Sexes","Number","11"
"Population","2022","077044013","Age 0-4","Males","Number","3"
"Population","2022","077044013","Age 0-4","Females","Number","5"
"Population","2022","077044013","Age 0-4","Both Sexes","Number","8"
"Population","2022","067192008","Age 0-4","Males","Number","2"
"Population","2022","067192008","Age 0-4","Females","Number","3"
"Population","2022","067192008","Age 0-4","Both Sexes","Number","5"
"Population","2022","017019001","Age 0-4","Males","Number","7"
"Population","2022","017019001","Age 0-4","Females","Number","5"
"Population","2022","017019001","Age 0-4","Both Sexes","Number","12"
"Population","2022","267006002","Age 0-4","Males","Number","9"
"Population","2022","267006002","Age 0-4","Females","Number","9"
"Population","2022","267006002","Age 0-4","Both Sexes","Number","18"
"Population","2022","128007002","Age 0-4","Males","Number","6"
"Population","2022","128007002","Age 0-4","Females","Number","7"
"Population","2022","128007002","Age 0-4","Both Sexes","Number","13"
"Population","2022","247002015/01","Age 0-4","Males","Number","0"
"Population","2022","247002015/01","Age 0-4","Females","Number","2"
"Population","2022","247002015/01","Age 0-4","Both Sexes","Number","2"
"Population","2022","268153005","Age 0-4","Males","Number","1"
"Population","2022","268153005","Age 0-4","Females","Number","6"
"Population","2022","268153005","Age 0-4","Both Sexes","Number","7"
"Population","2022","087052012/02","Age 0-4","Males","Number","13"
"Population","2022","087052012/02","Age 0-4","Females","Number","14"
"Population","2022","087052012/02","Age 0-4","Both Sexes","Number","27"
"Population","2022","267049002","Age 0-4","Males","Number","12"
"Population","2022","267049002","Age 0-4","Females","Number","14"
"Population","2022","267049002","Age 0-4","Both Sexes","Number","26"
"Population","2022","047132071","Age 0-4","Males","Number","9"
"Population","2022","047132071","Age 0-4","Females","Number","9"
"Population","2022","047132071","Age 0-4","Both Sexes","Number","18"
"Population","2022","147002007","Age 0-4","Males","Number","13"
"Population","2022","147002007","Age 0-4","Females","Number","15"
"Population","2022","147002007","Age 0-4","Both Sexes","Number","28"
"Population","2022","217056004","Age 0-4","Males","Number","4"
"Population","2022","217056004","Age 0-4","Females","Number","4"
"Population","2022","217056004","Age 0-4","Both Sexes","Number","8"
"Population","2022","067114001","Age 0-4","Males","Number","3"
"Population","2022","067114001","Age 0-4","Females","Number","3"
"Population","2022","067114001","Age 0-4","Both Sexes","Number","6"
"Population","2022","267028022","Age 0-4","Males","Number","4"
"Population","2022","267028022","Age 0-4","Females","Number","9"
"Population","2022","267028022","Age 0-4","Both Sexes","Number","13"
"Population","2022","187035001/02","Age 0-4","Males","Number","4"
"Population","2022","187035001/02","Age 0-4","Females","Number","3"
"Population","2022","187035001/02","Age 0-4","Both Sexes","Number","7"
"Population","2022","247078001","Age 0-4","Males","Number","8"
"Population","2022","247078001","Age 0-4","Females","Number","8"
"Population","2022","247078001","Age 0-4","Both Sexes","Number","16"
"Population","2022","037148001","Age 0-4","Males","Number","8"
"Population","2022","037148001","Age 0-4","Females","Number","6"
"Population","2022","037148001","Age 0-4","Both Sexes","Number","14"
"Population","2022","167085012","Age 0-4","Males","Number","6"
"Population","2022","167085012","Age 0-4","Females","Number","9"
"Population","2022","167085012","Age 0-4","Both Sexes","Number","15"
"Population","2022","268042002","Age 0-4","Males","Number","11"
"Population","2022","268042002","Age 0-4","Females","Number","7"
"Population","2022","268042002","Age 0-4","Both Sexes","Number","18"
"Population","2022","268139007/268139008","Age 0-4","Males","Number","3"
"Population","2022","268139007/268139008","Age 0-4","Females","Number","4"
"Population","2022","268139007/268139008","Age 0-4","Both Sexes","Number","7"
"Population","2022","217154001","Age 0-4","Males","Number","8"
"Population","2022","217154001","Age 0-4","Females","Number","7"
"Population","2022","217154001","Age 0-4","Both Sexes","Number","15"
"Population","2022","128036005","Age 0-4","Males","Number","3"
"Population","2022","128036005","Age 0-4","Females","Number","5"
"Population","2022","128036005","Age 0-4","Both Sexes","Number","8"
"Population","2022","267027009","Age 0-4","Males","Number","12"
"Population","2022","267027009","Age 0-4","Females","Number","7"
"Population","2022","267027009","Age 0-4","Both Sexes","Number","19"
"Population","2022","048050002","Age 0-4","Males","Number","3"
"Population","2022","048050002","Age 0-4","Females","Number","4"
"Population","2022","048050002","Age 0-4","Both Sexes","Number","7"
"Population","2022","267081006/02","Age 0-4","Males","Number","2"
"Population","2022","267081006/02","Age 0-4","Females","Number","4"
"Population","2022","267081006/02","Age 0-4","Both Sexes","Number","6"
"Population","2022","027011001","Age 0-4","Males","Number","6"
"Population","2022","027011001","Age 0-4","Females","Number","6"
"Population","2022","027011001","Age 0-4","Both Sexes","Number","12"
"Population","2022","037057069/02","Age 0-4","Males","Number","8"
"Population","2022","037057069/02","Age 0-4","Females","Number","10"
"Population","2022","037057069/02","Age 0-4","Both Sexes","Number","18"
"Population","2022","267106015/267106012","Age 0-4","Males","Number","11"
"Population","2022","267106015/267106012","Age 0-4","Females","Number","11"
"Population","2022","267106015/267106012","Age 0-4","Both Sexes","Number","22"
"Population","2022","217161001","Age 0-4","Males","Number","14"
"Population","2022","217161001","Age 0-4","Females","Number","14"
"Population","2022","217161001","Age 0-4","Both Sexes","Number","28"
"Population","2022","017011022","Age 0-4","Males","Number","7"
"Population","2022","017011022","Age 0-4","Females","Number","1"
"Population","2022","017011022","Age 0-4","Both Sexes","Number","8"
"Population","2022","257077012","Age 0-4","Males","Number","13"
"Population","2022","257077012","Age 0-4","Females","Number","4"
"Population","2022","257077012","Age 0-4","Both Sexes","Number","17"
"Population","2022","067093003","Age 0-4","Males","Number","5"
"Population","2022","067093003","Age 0-4","Females","Number","9"
"Population","2022","067093003","Age 0-4","Both Sexes","Number","14"
"Population","2022","257048001","Age 0-4","Males","Number","5"
"Population","2022","257048001","Age 0-4","Females","Number","9"
"Population","2022","257048001","Age 0-4","Both Sexes","Number","14"
"Population","2022","157012001","Age 0-4","Males","Number","5"
"Population","2022","157012001","Age 0-4","Females","Number","5"
"Population","2022","157012001","Age 0-4","Both Sexes","Number","10"
"Population","2022","057044002","Age 0-4","Males","Number","7"
"Population","2022","057044002","Age 0-4","Females","Number","7"
"Population","2022","057044002","Age 0-4","Both Sexes","Number","14"
"Population","2022","087023005","Age 0-4","Males","Number","2"
"Population","2022","087023005","Age 0-4","Females","Number","8"
"Population","2022","087023005","Age 0-4","Both Sexes","Number","10"
"Population","2022","087067015/03","Age 0-4","Males","Number","10"
"Population","2022","087067015/03","Age 0-4","Females","Number","18"
"Population","2022","087067015/03","Age 0-4","Both Sexes","Number","28"
"Population","2022","037026003","Age 0-4","Males","Number","4"
"Population","2022","037026003","Age 0-4","Females","Number","10"
"Population","2022","037026003","Age 0-4","Both Sexes","Number","14"
"Population","2022","267057001","Age 0-4","Males","Number","5"
"Population","2022","267057001","Age 0-4","Females","Number","6"
"Population","2022","267057001","Age 0-4","Both Sexes","Number","11"
"Population","2022","267129007","Age 0-4","Males","Number","8"
"Population","2022","267129007","Age 0-4","Females","Number","9"
"Population","2022","267129007","Age 0-4","Both Sexes","Number","17"
"Population","2022","207039001","Age 0-4","Males","Number","3"
"Population","2022","207039001","Age 0-4","Females","Number","3"
"Population","2022","207039001","Age 0-4","Both Sexes","Number","6"
"Population","2022","027004011","Age 0-4","Males","Number","8"
"Population","2022","027004011","Age 0-4","Females","Number","14"
"Population","2022","027004011","Age 0-4","Both Sexes","Number","22"
"Population","2022","157066003/157066001","Age 0-4","Males","Number","10"
"Population","2022","157066003/157066001","Age 0-4","Females","Number","13"
"Population","2022","157066003/157066001","Age 0-4","Both Sexes","Number","23"
"Population","2022","147019032","Age 0-4","Males","Number","4"
"Population","2022","147019032","Age 0-4","Females","Number","1"
"Population","2022","147019032","Age 0-4","Both Sexes","Number","5"
"Population","2022","047016005","Age 0-4","Males","Number","7"
"Population","2022","047016005","Age 0-4","Females","Number","7"
"Population","2022","047016005","Age 0-4","Both Sexes","Number","14"
"Population","2022","048024003","Age 0-4","Males","Number","2"
"Population","2022","048024003","Age 0-4","Females","Number","0"
"Population","2022","048024003","Age 0-4","Both Sexes","Number","2"
"Population","2022","227020001/227020003","Age 0-4","Males","Number","11"
"Population","2022","227020001/227020003","Age 0-4","Females","Number","7"
"Population","2022","227020001/227020003","Age 0-4","Both Sexes","Number","18"
"Population","2022","268013007","Age 0-4","Males","Number","7"
"Population","2022","268013007","Age 0-4","Females","Number","4"
"Population","2022","268013007","Age 0-4","Both Sexes","Number","11"
"Population","2022","067189002","Age 0-4","Males","Number","12"
"Population","2022","067189002","Age 0-4","Females","Number","14"
"Population","2022","067189002","Age 0-4","Both Sexes","Number","26"
"Population","2022","047163003","Age 0-4","Males","Number","3"
"Population","2022","047163003","Age 0-4","Females","Number","1"
"Population","2022","047163003","Age 0-4","Both Sexes","Number","4"
"Population","2022","267140029","Age 0-4","Males","Number","6"
"Population","2022","267140029","Age 0-4","Females","Number","3"
"Population","2022","267140029","Age 0-4","Both Sexes","Number","9"
"Population","2022","267160003","Age 0-4","Males","Number","6"
"Population","2022","267160003","Age 0-4","Females","Number","10"
"Population","2022","267160003","Age 0-4","Both Sexes","Number","16"
"Population","2022","127026008","Age 0-4","Males","Number","2"
"Population","2022","127026008","Age 0-4","Females","Number","9"
"Population","2022","127026008","Age 0-4","Both Sexes","Number","11"
"Population","2022","207025001","Age 0-4","Males","Number","3"
"Population","2022","207025001","Age 0-4","Females","Number","4"
"Population","2022","207025001","Age 0-4","Both Sexes","Number","7"
"Population","2022","057106032","Age 0-4","Males","Number","9"
"Population","2022","057106032","Age 0-4","Females","Number","11"
"Population","2022","057106032","Age 0-4","Both Sexes","Number","20"
"Population","2022","117005001/117064001","Age 0-4","Males","Number","5"
"Population","2022","117005001/117064001","Age 0-4","Females","Number","6"
"Population","2022","117005001/117064001","Age 0-4","Both Sexes","Number","11"
"Population","2022","047227005","Age 0-4","Males","Number","11"
"Population","2022","047227005","Age 0-4","Females","Number","5"
"Population","2022","047227005","Age 0-4","Both Sexes","Number","16"
"Population","2022","167042007","Age 0-4","Males","Number","14"
"Population","2022","167042007","Age 0-4","Females","Number","5"
"Population","2022","167042007","Age 0-4","Both Sexes","Number","19"
"Population","2022","228004003","Age 0-4","Males","Number","6"
"Population","2022","228004003","Age 0-4","Females","Number","2"
"Population","2022","228004003","Age 0-4","Both Sexes","Number","8"
"Population","2022","167040007","Age 0-4","Males","Number","7"
"Population","2022","167040007","Age 0-4","Females","Number","7"
"Population","2022","167040007","Age 0-4","Both Sexes","Number","14"
"Population","2022","267130019","Age 0-4","Males","Number","15"
"Population","2022","267130019","Age 0-4","Females","Number","13"
"Population","2022","267130019","Age 0-4","Both Sexes","Number","28"
"Population","2022","207046002","Age 0-4","Males","Number","13"
"Population","2022","207046002","Age 0-4","Females","Number","8"
"Population","2022","207046002","Age 0-4","Both Sexes","Number","21"
"Population","2022","137054001","Age 0-4","Males","Number","6"
"Population","2022","137054001","Age 0-4","Females","Number","11"
"Population","2022","137054001","Age 0-4","Both Sexes","Number","17"
"Population","2022","048045004","Age 0-4","Males","Number","0"
"Population","2022","048045004","Age 0-4","Females","Number","4"
"Population","2022","048045004","Age 0-4","Both Sexes","Number","4"
"Population","2022","047105006","Age 0-4","Males","Number","11"
"Population","2022","047105006","Age 0-4","Females","Number","9"
"Population","2022","047105006","Age 0-4","Both Sexes","Number","20"
"Population","2022","087048011","Age 0-4","Males","Number","10"
"Population","2022","087048011","Age 0-4","Females","Number","13"
"Population","2022","087048011","Age 0-4","Both Sexes","Number","23"
"Population","2022","057063004/057063006","Age 0-4","Males","Number","8"
"Population","2022","057063004/057063006","Age 0-4","Females","Number","13"
"Population","2022","057063004/057063006","Age 0-4","Both Sexes","Number","21"
"Population","2022","177017010","Age 0-4","Males","Number","7"
"Population","2022","177017010","Age 0-4","Females","Number","10"
"Population","2022","177017010","Age 0-4","Both Sexes","Number","17"
"Population","2022","037059007/037059009","Age 0-4","Males","Number","9"
"Population","2022","037059007/037059009","Age 0-4","Females","Number","12"
"Population","2022","037059007/037059009","Age 0-4","Both Sexes","Number","21"
"Population","2022","087025010","Age 0-4","Males","Number","13"
"Population","2022","087025010","Age 0-4","Females","Number","6"
"Population","2022","087025010","Age 0-4","Both Sexes","Number","19"
"Population","2022","228017001","Age 0-4","Males","Number","8"
"Population","2022","228017001","Age 0-4","Females","Number","7"
"Population","2022","228017001","Age 0-4","Both Sexes","Number","15"
"Population","2022","047054010","Age 0-4","Males","Number","2"
"Population","2022","047054010","Age 0-4","Females","Number","3"
"Population","2022","047054010","Age 0-4","Both Sexes","Number","5"
"Population","2022","037057051","Age 0-4","Males","Number","11"
"Population","2022","037057051","Age 0-4","Females","Number","18"
"Population","2022","037057051","Age 0-4","Both Sexes","Number","29"
"Population","2022","047219001","Age 0-4","Males","Number","8"
"Population","2022","047219001","Age 0-4","Females","Number","8"
"Population","2022","047219001","Age 0-4","Both Sexes","Number","16"
"Population","2022","197111001","Age 0-4","Males","Number","3"
"Population","2022","197111001","Age 0-4","Females","Number","5"
"Population","2022","197111001","Age 0-4","Both Sexes","Number","8"
"Population","2022","037111003/037111004","Age 0-4","Males","Number","7"
"Population","2022","037111003/037111004","Age 0-4","Females","Number","5"
"Population","2022","037111003/037111004","Age 0-4","Both Sexes","Number","12"
"Population","2022","087001003","Age 0-4","Males","Number","2"
"Population","2022","087001003","Age 0-4","Females","Number","3"
"Population","2022","087001003","Age 0-4","Both Sexes","Number","5"
"Population","2022","268074002","Age 0-4","Males","Number","2"
"Population","2022","268074002","Age 0-4","Females","Number","3"
"Population","2022","268074002","Age 0-4","Both Sexes","Number","5"
"Population","2022","037026005","Age 0-4","Males","Number","8"
"Population","2022","037026005","Age 0-4","Females","Number","10"
"Population","2022","037026005","Age 0-4","Both Sexes","Number","18"
"Population","2022","157139007","Age 0-4","Males","Number","1"
"Population","2022","157139007","Age 0-4","Females","Number","1"
