"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Galway County Council"                 ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Leitrim County Council"                ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Mayo  County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Roscommon County Council"              ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Sligo County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Cavan County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Donegal County Council"                ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Israel"                                                               ,"Monaghan County Council"               ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Ireland"                               ,"Number" ,"45449"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Carlow County Council"                 ,"Number" ,"291"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Dublin City Council"                   ,"Number" ,"10318"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"4963"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Fingal County Council"                 ,"Number" ,"4006"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"South Dublin County Council"           ,"Number" ,"4443"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Kildare County Council"                ,"Number" ,"1820"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Kilkenny County Council"               ,"Number" ,"530"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Laois County Council"                  ,"Number" ,"288"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Longford County Council"               ,"Number" ,"120"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Louth County Council"                  ,"Number" ,"710"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Meath County Council"                  ,"Number" ,"925"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Offaly County Council"                 ,"Number" ,"264"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Westmeath County Council"              ,"Number" ,"1034"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Wexford County Council"                ,"Number" ,"613"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Wicklow County Council"                ,"Number" ,"578"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Clare County Council"                  ,"Number" ,"581"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Cork City Council"                     ,"Number" ,"3016"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Cork County Council"                   ,"Number" ,"1299"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Kerry County Council"                  ,"Number" ,"390"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Limerick City & County Council"        ,"Number" ,"2347"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Tipperary County Council"              ,"Number" ,"808"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Waterford City & County Council"       ,"Number" ,"832"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Galway City Council"                   ,"Number" ,"1394"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Galway County Council"                 ,"Number" ,"937"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Leitrim County Council"                ,"Number" ,"107"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Mayo  County Council"                  ,"Number" ,"564"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Roscommon County Council"              ,"Number" ,"331"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Sligo County Council"                  ,"Number" ,"321"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Cavan County Council"                  ,"Number" ,"394"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Donegal County Council"                ,"Number" ,"1125"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"India"                                                                ,"Monaghan County Council"               ,"Number" ,"100"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Ireland"                               ,"Number" ,"746"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Carlow County Council"                 ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Dublin City Council"                   ,"Number" ,"105"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Fingal County Council"                 ,"Number" ,"88"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"South Dublin County Council"           ,"Number" ,"95"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Kildare County Council"                ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Kilkenny County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Laois County Council"                  ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Longford County Council"               ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Louth County Council"                  ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Meath County Council"                  ,"Number" ,"25"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Offaly County Council"                 ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Westmeath County Council"              ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Wexford County Council"                ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Wicklow County Council"                ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Clare County Council"                  ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Cork City Council"                     ,"Number" ,"71"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Cork County Council"                   ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Kerry County Council"                  ,"Number" ,"30"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Limerick City & County Council"        ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Tipperary County Council"              ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Waterford City & County Council"       ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Galway City Council"                   ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Galway County Council"                 ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Leitrim County Council"                ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Mayo  County Council"                  ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Roscommon County Council"              ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Sligo County Council"                  ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Cavan County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Donegal County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iraq"                                                                 ,"Monaghan County Council"               ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Ireland"                               ,"Number" ,"829"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Carlow County Council"                 ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Dublin City Council"                   ,"Number" ,"217"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"111"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Fingal County Council"                 ,"Number" ,"56"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"South Dublin County Council"           ,"Number" ,"60"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Kildare County Council"                ,"Number" ,"38"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Kilkenny County Council"               ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Laois County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Longford County Council"               ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Louth County Council"                  ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Meath County Council"                  ,"Number" ,"14"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Offaly County Council"                 ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Westmeath County Council"              ,"Number" ,"27"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Wexford County Council"                ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Wicklow County Council"                ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Clare County Council"                  ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Cork City Council"                     ,"Number" ,"79"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Cork County Council"                   ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Kerry County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Limerick City & County Council"        ,"Number" ,"50"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Tipperary County Council"              ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Waterford City & County Council"       ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Galway City Council"                   ,"Number" ,"56"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Galway County Council"                 ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Leitrim County Council"                ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Mayo  County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Roscommon County Council"              ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Sligo County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Cavan County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Donegal County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Iran (Islamic Republic of)"                                           ,"Monaghan County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Ireland"                               ,"Number" ,"18319"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Carlow County Council"                 ,"Number" ,"49"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Dublin City Council"                   ,"Number" ,"6945"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"1347"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Fingal County Council"                 ,"Number" ,"1791"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"South Dublin County Council"           ,"Number" ,"864"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Kildare County Council"                ,"Number" ,"570"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Kilkenny County Council"               ,"Number" ,"153"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Laois County Council"                  ,"Number" ,"113"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Longford County Council"               ,"Number" ,"60"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Louth County Council"                  ,"Number" ,"347"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Meath County Council"                  ,"Number" ,"392"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Offaly County Council"                 ,"Number" ,"81"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Westmeath County Council"              ,"Number" ,"160"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Wexford County Council"                ,"Number" ,"197"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Wicklow County Council"                ,"Number" ,"354"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Clare County Council"                  ,"Number" ,"184"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Cork City Council"                     ,"Number" ,"1582"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Cork County Council"                   ,"Number" ,"659"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Kerry County Council"                  ,"Number" ,"184"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Limerick City & County Council"        ,"Number" ,"438"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Tipperary County Council"              ,"Number" ,"108"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Waterford City & County Council"       ,"Number" ,"241"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Galway City Council"                   ,"Number" ,"580"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Galway County Council"                 ,"Number" ,"340"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Leitrim County Council"                ,"Number" ,"58"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Mayo  County Council"                  ,"Number" ,"116"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Roscommon County Council"              ,"Number" ,"93"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Sligo County Council"                  ,"Number" ,"98"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Cavan County Council"                  ,"Number" ,"58"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Donegal County Council"                ,"Number" ,"116"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Italy"                                                                ,"Monaghan County Council"               ,"Number" ,"41"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Ireland"                               ,"Number" ,"1124"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Carlow County Council"                 ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Dublin City Council"                   ,"Number" ,"355"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"145"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Fingal County Council"                 ,"Number" ,"94"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"South Dublin County Council"           ,"Number" ,"48"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Kildare County Council"                ,"Number" ,"42"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Kilkenny County Council"               ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Laois County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Longford County Council"               ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Louth County Council"                  ,"Number" ,"36"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Meath County Council"                  ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Offaly County Council"                 ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Westmeath County Council"              ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Wexford County Council"                ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Wicklow County Council"                ,"Number" ,"30"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Clare County Council"                  ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Cork City Council"                     ,"Number" ,"51"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Cork County Council"                   ,"Number" ,"49"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Kerry County Council"                  ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Limerick City & County Council"        ,"Number" ,"29"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Tipperary County Council"              ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Waterford City & County Council"       ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Galway City Council"                   ,"Number" ,"31"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Galway County Council"                 ,"Number" ,"35"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Leitrim County Council"                ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Mayo  County Council"                  ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Roscommon County Council"              ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Sligo County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Cavan County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Donegal County Council"                ,"Number" ,"14"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Japan"                                                                ,"Monaghan County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Ireland"                               ,"Number" ,"518"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Carlow County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Dublin City Council"                   ,"Number" ,"121"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"37"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Fingal County Council"                 ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"South Dublin County Council"           ,"Number" ,"40"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Kildare County Council"                ,"Number" ,"25"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Kilkenny County Council"               ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Laois County Council"                  ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Longford County Council"               ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Louth County Council"                  ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Meath County Council"                  ,"Number" ,"24"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Offaly County Council"                 ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Westmeath County Council"              ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Wexford County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Wicklow County Council"                ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Clare County Council"                  ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Cork City Council"                     ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Cork County Council"                   ,"Number" ,"23"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Kerry County Council"                  ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Limerick City & County Council"        ,"Number" ,"27"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Tipperary County Council"              ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Waterford City & County Council"       ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Galway City Council"                   ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Galway County Council"                 ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Mayo  County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Roscommon County Council"              ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Sligo County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Cavan County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Donegal County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Kenya"                                                                ,"Monaghan County Council"               ,"Number" ,"1"
