"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Persons aged 30-39 years","2022","Evergreen, Cork City","Number","349"
"Persons aged 30-39 years","2022","Fair Hill A, Cork City","Number","122"
"Persons aged 30-39 years","2022","Fair Hill B, Cork City","Number","80"
"Persons aged 30-39 years","2022","Fair Hill C, Cork City","Number","456"
"Persons aged 30-39 years","2022","Farranferris A, Cork City","Number","356"
"Persons aged 30-39 years","2022","Farranferris B, Cork City","Number","105"
"Persons aged 30-39 years","2022","Farranferris C, Cork City","Number","128"
"Persons aged 30-39 years","2022","Gillabbey A, Cork City","Number","450"
"Persons aged 30-39 years","2022","Gillabbey B, Cork City","Number","148"
"Persons aged 30-39 years","2022","Gillabbey C, Cork City","Number","235"
"Persons aged 30-39 years","2022","Glasheen A, Cork City","Number","115"
"Persons aged 30-39 years","2022","Glasheen B, Cork City","Number","107"
"Persons aged 30-39 years","2022","Glasheen C, Cork City","Number","303"
"Persons aged 30-39 years","2022","Greenmount, Cork City","Number","337"
"Persons aged 30-39 years","2022","Gurranebraher A, Cork City","Number","90"
"Persons aged 30-39 years","2022","Gurranebraher B, Cork City","Number","114"
"Persons aged 30-39 years","2022","Gurranebraher C, Cork City","Number","192"
"Persons aged 30-39 years","2022","Gurranebraher D, Cork City","Number","113"
"Persons aged 30-39 years","2022","Gurranebraher E, Cork City","Number","129"
"Persons aged 30-39 years","2022","Inishkenny, Cork City","Number","958"
"Persons aged 30-39 years","2022","Knocknaheeny, Cork City","Number","522"
"Persons aged 30-39 years","2022","Knockrea A, Cork City","Number","258"
"Persons aged 30-39 years","2022","Knockrea B, Cork City","Number","127"
"Persons aged 30-39 years","2022","Mahon A, Cork City","Number","789"
"Persons aged 30-39 years","2022","Mahon B, Cork City","Number","922"
"Persons aged 30-39 years","2022","Mahon C, Cork City","Number","370"
"Persons aged 30-39 years","2022","Mardyke, Cork City","Number","209"
"Persons aged 30-39 years","2022","Matehy, Cork City","Number","176"
"Persons aged 30-39 years","2022","Mayfield, Cork City","Number","366"
"Persons aged 30-39 years","2022","Montenotte A, Cork City","Number","281"
"Persons aged 30-39 years","2022","Montenotte B, Cork City","Number","247"
"Persons aged 30-39 years","2022","Ovens, Cork City","Number","327"
"Persons aged 30-39 years","2022","Pouladuff A, Cork City","Number","105"
"Persons aged 30-39 years","2022","Pouladuff B, Cork City","Number","217"
"Persons aged 30-39 years","2022","Rathcooney, Cork City","Number","1124"
"Persons aged 30-39 years","2022","Riverstown, Cork City","Number","483"
"Persons aged 30-39 years","2022","Shanakiel, Cork City","Number","657"
"Persons aged 30-39 years","2022","Shandon A, Cork City","Number","619"
"Persons aged 30-39 years","2022","Shandon B, Cork City","Number","425"
"Persons aged 30-39 years","2022","South Gate A, Cork City","Number","707"
"Persons aged 30-39 years","2022","South Gate B, Cork City","Number","249"
"Persons aged 30-39 years","2022","St. Mary's (East), Cork City","Number","265"
"Persons aged 30-39 years","2022","St. Mary's (West), Cork City","Number","613"
"Persons aged 30-39 years","2022","St. Patrick's A, Cork City","Number","482"
"Persons aged 30-39 years","2022","St. Patrick's B, Cork City","Number","362"
"Persons aged 30-39 years","2022","St. Patrick's C, Cork City","Number","211"
"Persons aged 30-39 years","2022","Sunday's Well A, Cork City","Number","114"
"Persons aged 30-39 years","2022","Sunday's Well B, Cork City","Number","294"
"Persons aged 30-39 years","2022","The Glen A, Cork City","Number","378"
"Persons aged 30-39 years","2022","The Glen B, Cork City","Number","440"
"Persons aged 30-39 years","2022","The Lough, Cork City","Number","265"
"Persons aged 30-39 years","2022","Tivoli A, Cork City","Number","322"
"Persons aged 30-39 years","2022","Tivoli B, Cork City","Number","343"
"Persons aged 30-39 years","2022","Togher A, Cork City","Number","297"
"Persons aged 30-39 years","2022","Togher B, Cork City","Number","90"
"Persons aged 30-39 years","2022","Tramore A, Cork City","Number","128"
"Persons aged 30-39 years","2022","Tramore B, Cork City","Number","79"
"Persons aged 30-39 years","2022","Tramore C, Cork City","Number","487"
"Persons aged 30-39 years","2022","Turner's Cross A, Cork City","Number","175"
"Persons aged 30-39 years","2022","Turner's Cross B, Cork City","Number","181"
"Persons aged 30-39 years","2022","Turner's Cross C, Cork City","Number","112"
"Persons aged 30-39 years","2022","Turner's Cross D, Cork City","Number","76"
"Persons aged 30-39 years","2022","Whitechurch, Cork City","Number","204"
"Persons aged 30-39 years","2022","Abbeymahon, Cork County","Number","82"
"Persons aged 30-39 years","2022","Adrigole, Cork County","Number","35"
"Persons aged 30-39 years","2022","Aghadown North, Cork County","Number","21"
"Persons aged 30-39 years","2022","Aghadown South, Cork County","Number","53"
"Persons aged 30-39 years","2022","Aghern, Cork County","Number","33"
"Persons aged 30-39 years","2022","Aghinagh, Cork County","Number","71"
"Persons aged 30-39 years","2022","Aglish, Cork County","Number","175"
"Persons aged 30-39 years","2022","Ahil, Cork County","Number","28"
"Persons aged 30-39 years","2022","Allow, Cork County","Number","80"
"Persons aged 30-39 years","2022","Ardagh, Cork County","Number","76"
"Persons aged 30-39 years","2022","Ardfield, Cork County","Number","91"
"Persons aged 30-39 years","2022","Ardskeagh, Cork County","Number","44"
"Persons aged 30-39 years","2022","Argideen, Cork County","Number","49"
"Persons aged 30-39 years","2022","Aultagh, Cork County","Number","36"
"Persons aged 30-39 years","2022","Ballinadee, Cork County","Number","81"
"Persons aged 30-39 years","2022","Ballincollig, Cork County","Number","155"
"Persons aged 30-39 years","2022","Ballingurteen, Cork County","Number","81"
"Persons aged 30-39 years","2022","Ballinspittle, Cork County","Number","66"
"Persons aged 30-39 years","2022","Ballintemple, Cork County","Number","69"
"Persons aged 30-39 years","2022","Ballyarthur, Cork County","Number","23"
"Persons aged 30-39 years","2022","Ballybane, Cork County","Number","31"
"Persons aged 30-39 years","2022","Ballyclogh, Cork County","Number","67"
"Persons aged 30-39 years","2022","Ballycottin, Cork County","Number","210"
"Persons aged 30-39 years","2022","Ballydehob, Cork County","Number","92"
"Persons aged 30-39 years","2022","Ballyfeard, Cork County","Number","49"
"Persons aged 30-39 years","2022","Ballyfoyle, Cork County","Number","52"
"Persons aged 30-39 years","2022","Ballygarvan, Cork County","Number","218"
"Persons aged 30-39 years","2022","Ballygroman, Cork County","Number","201"
"Persons aged 30-39 years","2022","Ballyhoolahan, Cork County","Number","31"
"Persons aged 30-39 years","2022","Ballyhooly, Cork County","Number","147"
"Persons aged 30-39 years","2022","Ballymackean, Cork County","Number","39"
"Persons aged 30-39 years","2022","Ballymartle, Cork County","Number","215"
"Persons aged 30-39 years","2022","Ballymodan, Cork County","Number","583"
"Persons aged 30-39 years","2022","Ballymoney, Cork County","Number","94"
"Persons aged 30-39 years","2022","Ballymurphy, Cork County","Number","106"
"Persons aged 30-39 years","2022","Ballynaglogh, Cork County","Number","32"
"Persons aged 30-39 years","2022","Ballynamona, Cork County","Number","90"
"Persons aged 30-39 years","2022","Ballynoe, Cork County","Number","83"
"Persons aged 30-39 years","2022","Ballyspillane, Cork County","Number","27"
"Persons aged 30-39 years","2022","Bandon, Cork County","Number","401"
"Persons aged 30-39 years","2022","Banteer, Cork County","Number","97"
"Persons aged 30-39 years","2022","Bantry Urban, Cork County","Number","383"
"Persons aged 30-39 years","2022","Barleyhill, Cork County","Number","59"
"Persons aged 30-39 years","2022","Barnacurra, Cork County","Number","29"
"Persons aged 30-39 years","2022","Baurleigh, Cork County","Number","39"
"Persons aged 30-39 years","2022","Bawncross, Cork County","Number","42"
"Persons aged 30-39 years","2022","Bealanageary, Cork County, 047047","Number","16"
"Persons aged 30-39 years","2022","Bealanageary, Cork County, 047048","Number","75"
"Persons aged 30-39 years","2022","Bealock, Cork County","Number","43"
"Persons aged 30-39 years","2022","Bear, Cork County","Number","20"
"Persons aged 30-39 years","2022","Bengour, Cork County","Number","35"
"Persons aged 30-39 years","2022","Blackpool, Cork County","Number","117"
"Persons aged 30-39 years","2022","Blarney, Cork County","Number","102"
"Persons aged 30-39 years","2022","Boherboy, Cork County","Number","113"
"Persons aged 30-39 years","2022","Boulteen, Cork County","Number","59"
"Persons aged 30-39 years","2022","Bredagh, Cork County","Number","81"
"Persons aged 30-39 years","2022","Brinny, Cork County","Number","54"
"Persons aged 30-39 years","2022","Butlerstown, Cork County","Number","45"
"Persons aged 30-39 years","2022","Buttevant, Cork County","Number","261"
"Persons aged 30-39 years","2022","Caheragh, Cork County","Number","21"
"Persons aged 30-39 years","2022","Caherbarnagh, Cork County","Number","68"
"Persons aged 30-39 years","2022","Caherduggan, Cork County","Number","83"
"Persons aged 30-39 years","2022","Caherlag, Cork County","Number","408"
"Persons aged 30-39 years","2022","Cahermore, Cork County","Number","40"
"Persons aged 30-39 years","2022","Candroma, Cork County","Number","41"
"Persons aged 30-39 years","2022","Cannaway, Cork County","Number","97"
"Persons aged 30-39 years","2022","Cape Clear, Cork County","Number","21"
"Persons aged 30-39 years","2022","Carrig, Cork County, 047069","Number","19"
"Persons aged 30-39 years","2022","Carrig, Cork County, 047070","Number","10"
"Persons aged 30-39 years","2022","Carrigaline, Cork County, 047071","Number","513"
"Persons aged 30-39 years","2022","Carrigaline, Cork County, 047072","Number","1791"
"Persons aged 30-39 years","2022","Carrigbaun, Cork County","Number","38"
"Persons aged 30-39 years","2022","Carrigboy, Cork County","Number","50"
"Persons aged 30-39 years","2022","Carrignavar, Cork County","Number","154"
"Persons aged 30-39 years","2022","Carrigrohanebeg, Cork County","Number","66"
"Persons aged 30-39 years","2022","Carrigtohill, Cork County","Number","1232"
"Persons aged 30-39 years","2022","Cashel, Cork County","Number","48"
"Persons aged 30-39 years","2022","Castle Hyde, Cork County","Number","88"
"Persons aged 30-39 years","2022","Castlecooke, Cork County","Number","21"
"Persons aged 30-39 years","2022","Castlecor, Cork County","Number","62"
"Persons aged 30-39 years","2022","Castlehaven North, Cork County","Number","80"
"Persons aged 30-39 years","2022","Castlehaven South, Cork County","Number","37"
"Persons aged 30-39 years","2022","Castlelyons, Cork County","Number","173"
"Persons aged 30-39 years","2022","Castlemagner, Cork County","Number","103"
"Persons aged 30-39 years","2022","Castlemartyr, Cork County","Number","113"
"Persons aged 30-39 years","2022","Castletown, Cork County","Number","64"
"Persons aged 30-39 years","2022","Castletownroche, Cork County","Number","94"
"Persons aged 30-39 years","2022","Castleventry, Cork County","Number","28"
"Persons aged 30-39 years","2022","Churchtown, Cork County","Number","175"
"Persons aged 30-39 years","2022","Cleanrath, Cork County","Number","22"
"Persons aged 30-39 years","2022","Clenor, Cork County","Number","47"
"Persons aged 30-39 years","2022","Cloghdonnell, Cork County","Number","57"
"Persons aged 30-39 years","2022","Clonakilty Rural, Cork County","Number","233"
"Persons aged 30-39 years","2022","Clonakilty Urban, Cork County","Number","667"
"Persons aged 30-39 years","2022","Clondrohid, Cork County","Number","101"
"Persons aged 30-39 years","2022","Clonfert East, Cork County","Number","42"
"Persons aged 30-39 years","2022","Clonfert West, Cork County","Number","15"
"Persons aged 30-39 years","2022","Clonmeen, Cork County","Number","29"
"Persons aged 30-39 years","2022","Clonmoyle, Cork County","Number","73"
"Persons aged 30-39 years","2022","Clonmult, Cork County","Number","26"
"Persons aged 30-39 years","2022","Clonpriest, Cork County","Number","148"
"Persons aged 30-39 years","2022","Cloonkeen, Cork County","Number","38"
"Persons aged 30-39 years","2022","Cloyne, Cork County","Number","611"
"Persons aged 30-39 years","2022","Cobh Rural, Cork County","Number","1298"
"Persons aged 30-39 years","2022","Cobh Urban, Cork County","Number","848"
"Persons aged 30-39 years","2022","Coolagh, Cork County","Number","23"
"Persons aged 30-39 years","2022","Coolclogh, Cork County","Number","26"
"Persons aged 30-39 years","2022","Coolcraheen, Cork County","Number","86"
"Persons aged 30-39 years","2022","Coole, Cork County","Number","130"
"Persons aged 30-39 years","2022","Coolmain, Cork County","Number","60"
"Persons aged 30-39 years","2022","Coolmountain, Cork County","Number","50"
"Persons aged 30-39 years","2022","Coomlogane, Cork County","Number","103"
"Persons aged 30-39 years","2022","Corkbeg, Cork County","Number","345"
"Persons aged 30-39 years","2022","Coulagh, Cork County","Number","54"
"Persons aged 30-39 years","2022","Courtmacsherry, Cork County","Number","106"
"Persons aged 30-39 years","2022","Crinnaloo, Cork County","Number","13"
"Persons aged 30-39 years","2022","Crookhaven, Cork County","Number","10"
"Persons aged 30-39 years","2022","Cullen, Cork County, 047120","Number","77"
"Persons aged 30-39 years","2022","Cullen, Cork County, 047121","Number","49"
"Persons aged 30-39 years","2022","Curraglass, Cork County","Number","43"
"Persons aged 30-39 years","2022","Curryglass, Cork County","Number","40"
"Persons aged 30-39 years","2022","Dangan, Cork County","Number","20"
"Persons aged 30-39 years","2022","Derragh, Cork County","Number","28"
"Persons aged 30-39 years","2022","Derry, Cork County","Number","57"
"Persons aged 30-39 years","2022","Derryfineen, Cork County","Number","20"
"Persons aged 30-39 years","2022","Derryvillane, Cork County","Number","48"
"Persons aged 30-39 years","2022","Doneraile, Cork County","Number","201"
"Persons aged 30-39 years","2022","Doonasleen, Cork County","Number","35"
"Persons aged 30-39 years","2022","Douce, Cork County","Number","31"
"Persons aged 30-39 years","2022","Douglas, Cork County","Number","22"
"Persons aged 30-39 years","2022","Drinagh, Cork County, 047133","Number","55"
"Persons aged 30-39 years","2022","Drinagh, Cork County, 047134","Number","33"
"Persons aged 30-39 years","2022","Dripsey, Cork County","Number","198"
"Persons aged 30-39 years","2022","Drishane, Cork County","Number","313"
"Persons aged 30-39 years","2022","Dromdaleague North, Cork County","Number","20"
"Persons aged 30-39 years","2022","Dromdaleague South, Cork County","Number","65"
"Persons aged 30-39 years","2022","Dromina, Cork County","Number","61"
"Persons aged 30-39 years","2022","Dromore, Cork County","Number","439"
"Persons aged 30-39 years","2022","Dunbeacon, Cork County","Number","23"
"Persons aged 30-39 years","2022","Dunderrow, Cork County","Number","194"
"Persons aged 30-39 years","2022","Dungourney, Cork County","Number","69"
"Persons aged 30-39 years","2022","Dunmanus, Cork County","Number","18"
"Persons aged 30-39 years","2022","Dunmanway North, Cork County","Number","166"
"Persons aged 30-39 years","2022","Dunmanway South, Cork County","Number","185"
"Persons aged 30-39 years","2022","Durrus East, Cork County","Number","25"
"Persons aged 30-39 years","2022","Durrus West, Cork County","Number","68"
"Persons aged 30-39 years","2022","Farahy, Cork County","Number","61"
"Persons aged 30-39 years","2022","Farranbrien, Cork County","Number","56"
"Persons aged 30-39 years","2022","Fermoy Rural, Cork County","Number","599"
"Persons aged 30-39 years","2022","Fermoy Urban, Cork County","Number","408"
"Persons aged 30-39 years","2022","Firmount, Cork County","Number","77"
"Persons aged 30-39 years","2022","Garranes, Cork County","Number","53"
"Persons aged 30-39 years","2022","Garrown, Cork County","Number","36"
"Persons aged 30-39 years","2022","Garryvoe, Cork County","Number","87"
"Persons aged 30-39 years","2022","Glanlough, Cork County","Number","13"
"Persons aged 30-39 years","2022","Glanworth East, Cork County","Number","64"
"Persons aged 30-39 years","2022","Glanworth West, Cork County","Number","145"
"Persons aged 30-39 years","2022","Glengarriff, Cork County","Number","146"
"Persons aged 30-39 years","2022","Glenlara, Cork County","Number","55"
"Persons aged 30-39 years","2022","Glenville, Cork County","Number","70"
"Persons aged 30-39 years","2022","Goleen, Cork County","Number","21"
"Persons aged 30-39 years","2022","Gortmore, Cork County","Number","21"
"Persons aged 30-39 years","2022","Gortnascreeny, Cork County","Number","57"
"Persons aged 30-39 years","2022","Gortnaskehy, Cork County","Number","29"
"Persons aged 30-39 years","2022","Gortnatubbrid, Cork County","Number","46"
"Persons aged 30-39 years","2022","Gortroe, Cork County","Number","73"
"Persons aged 30-39 years","2022","Gowlane, Cork County","Number","168"
"Persons aged 30-39 years","2022","Greenane, Cork County","Number","188"
"Persons aged 30-39 years","2022","Greenfort, Cork County","Number","81"
"Persons aged 30-39 years","2022","Greenville, Cork County","Number","40"
"Persons aged 30-39 years","2022","Ightermurragh, Cork County","Number","423"
"Persons aged 30-39 years","2022","Imphrick, Cork County","Number","50"
"Persons aged 30-39 years","2022","Inch, Cork County","Number","54"
"Persons aged 30-39 years","2022","Inchigeelagh, Cork County","Number","90"
"Persons aged 30-39 years","2022","Inishannon, Cork County","Number","251"
"Persons aged 30-39 years","2022","Inishkenny, Cork County","Number","105"
"Persons aged 30-39 years","2022","Kanturk, Cork County","Number","337"
"Persons aged 30-39 years","2022","Keale, Cork County","Number","35"
"Persons aged 30-39 years","2022","Kealkill, Cork County","Number","63"
"Persons aged 30-39 years","2022","Kilberrihert, Cork County","Number","112"
"Persons aged 30-39 years","2022","Kilbonane, Cork County","Number","166"
"Persons aged 30-39 years","2022","Kilbrin, Cork County","Number","38"
"Persons aged 30-39 years","2022","Kilbrittain, Cork County","Number","60"
"Persons aged 30-39 years","2022","Kilbrogan, Cork County","Number","426"
"Persons aged 30-39 years","2022","Kilcaskan, Cork County","Number","100"
"Persons aged 30-39 years","2022","Kilcatherine, Cork County","Number","62"
"Persons aged 30-39 years","2022","Kilcoe, Cork County","Number","42"
"Persons aged 30-39 years","2022","Kilcor, Cork County","Number","48"
"Persons aged 30-39 years","2022","Kilcorney, Cork County","Number","39"
"Persons aged 30-39 years","2022","Kilcronat, Cork County","Number","23"
"Persons aged 30-39 years","2022","Kilcullen, Cork County","Number","107"
"Persons aged 30-39 years","2022","Kilcummer, Cork County","Number","29"
"Persons aged 30-39 years","2022","Kildinan, Cork County","Number","69"
"Persons aged 30-39 years","2022","Kildorrery, Cork County","Number","102"
"Persons aged 30-39 years","2022","Kilfaughnabeg, Cork County","Number","63"
"Persons aged 30-39 years","2022","Kilgullane, Cork County","Number","22"
"Persons aged 30-39 years","2022","Kilkerranmore, Cork County","Number","50"
"Persons aged 30-39 years","2022","Killaconenagh, Cork County","Number","191"
"Persons aged 30-39 years","2022","Killathy, Cork County","Number","42"
"Persons aged 30-39 years","2022","Killeagh, Cork County, 047202","Number","194"
"Persons aged 30-39 years","2022","Killeagh, Cork County, 047203","Number","71"
"Persons aged 30-39 years","2022","Killeenleagh, Cork County","Number","38"
"Persons aged 30-39 years","2022","Kilmacdonogh, Cork County","Number","109"
"Persons aged 30-39 years","2022","Kilmaclenine, Cork County","Number","81"
"Persons aged 30-39 years","2022","Kilmaloda East, Cork County","Number","56"
"Persons aged 30-39 years","2022","Kilmaloda West, Cork County","Number","21"
"Persons aged 30-39 years","2022","Kilmeen, Cork County","Number","40"
"Persons aged 30-39 years","2022","Kilmonoge, Cork County","Number","118"
"Persons aged 30-39 years","2022","Kilmoylerane, Cork County","Number","45"
"Persons aged 30-39 years","2022","Kilnagross, Cork County","Number","77"
"Persons aged 30-39 years","2022","Kilnamanagh, Cork County","Number","28"
"Persons aged 30-39 years","2022","Kilnamartery, Cork County","Number","67"
"Persons aged 30-39 years","2022","Kilpatrick, Cork County","Number","67"
"Persons aged 30-39 years","2022","Kilphelan, Cork County","Number","67"
"Persons aged 30-39 years","2022","Kilshannig, Cork County","Number","111"
"Persons aged 30-39 years","2022","Kilworth, Cork County","Number","246"
"Persons aged 30-39 years","2022","Kinneigh, Cork County","Number","53"
"Persons aged 30-39 years","2022","Kinsale Rural, Cork County","Number","550"
"Persons aged 30-39 years","2022","Kinsale Urban, Cork County","Number","387"
"Persons aged 30-39 years","2022","Kinure, Cork County","Number","41"
"Persons aged 30-39 years","2022","Knockantota, Cork County","Number","150"
"Persons aged 30-39 years","2022","Knockatooan, Cork County","Number","41"
"Persons aged 30-39 years","2022","Knockavilly, Cork County","Number","40"
"Persons aged 30-39 years","2022","Knockmourne, Cork County","Number","203"
"Persons aged 30-39 years","2022","Knocknagree, Cork County","Number","69"
"Persons aged 30-39 years","2022","Knockraha, Cork County","Number","223"
"Persons aged 30-39 years","2022","Knockroe, Cork County","Number","86"
"Persons aged 30-39 years","2022","Knocks, Cork County","Number","38"
"Persons aged 30-39 years","2022","Knockskagh, Cork County","Number","64"
"Persons aged 30-39 years","2022","Knocktemple, Cork County","Number","53"
"Persons aged 30-39 years","2022","Laherne, Cork County","Number","75"
"Persons aged 30-39 years","2022","Leighmoney, Cork County","Number","70"
"Persons aged 30-39 years","2022","Leitrim, Cork County","Number","31"
"Persons aged 30-39 years","2022","Liscarroll, Cork County","Number","75"
"Persons aged 30-39 years","2022","Liscleary, Cork County","Number","655"
"Persons aged 30-39 years","2022","Lisgoold, Cork County","Number","113"
"Persons aged 30-39 years","2022","Lowertown, Cork County","Number","22"
"Persons aged 30-39 years","2022","Macloneigh, Cork County","Number","93"
"Persons aged 30-39 years","2022","Macroom Urban, Cork County","Number","598"
"Persons aged 30-39 years","2022","Magourney, Cork County","Number","150"
"Persons aged 30-39 years","2022","Mallow North Urban, Cork County","Number","905"
"Persons aged 30-39 years","2022","Mallow Rural, Cork County","Number","657"
"Persons aged 30-39 years","2022","Mallow South Urban, Cork County","Number","316"
"Persons aged 30-39 years","2022","Manch, Cork County","Number","51"
"Persons aged 30-39 years","2022","Marshalstown, Cork County","Number","46"
"Persons aged 30-39 years","2022","Mashanaglass, Cork County","Number","45"
"Persons aged 30-39 years","2022","Matehy, Cork County","Number","218"
"Persons aged 30-39 years","2022","Mealagh, Cork County","Number","50"
"Persons aged 30-39 years","2022","Meens, Cork County","Number","61"
"Persons aged 30-39 years","2022","Midleton Rural, Cork County","Number","1409"
"Persons aged 30-39 years","2022","Midleton Urban, Cork County","Number","583"
"Persons aged 30-39 years","2022","Milane, Cork County","Number","22"
"Persons aged 30-39 years","2022","Milford, Cork County","Number","94"
"Persons aged 30-39 years","2022","Milltown, Cork County","Number","48"
"Persons aged 30-39 years","2022","Mitchelstown, Cork County","Number","700"
"Persons aged 30-39 years","2022","Mogeely, Cork County","Number","110"
"Persons aged 30-39 years","2022","Monanimy, Cork County","Number","89"
"Persons aged 30-39 years","2022","Monkstown Rural, Cork County","Number","186"
"Persons aged 30-39 years","2022","Monkstown Urban, Cork County","Number","698"
"Persons aged 30-39 years","2022","Mountrivers, Cork County","Number","75"
"Persons aged 30-39 years","2022","Moviddy, Cork County","Number","209"
"Persons aged 30-39 years","2022","Murragh, Cork County","Number","51"
"Persons aged 30-39 years","2022","Myross, Cork County","Number","89"
"Persons aged 30-39 years","2022","Nad, Cork County","Number","20"
"Persons aged 30-39 years","2022","Newmarket, Cork County","Number","165"
"Persons aged 30-39 years","2022","Newtown, Cork County","Number","120"
"Persons aged 30-39 years","2022","Nohaval, Cork County","Number","44"
"Persons aged 30-39 years","2022","Ovens, Cork County","Number","118"
"Persons aged 30-39 years","2022","Rahalisk, Cork County","Number","61"
"Persons aged 30-39 years","2022","Rahan, Cork County","Number","112"
"Persons aged 30-39 years","2022","Rathbarry, Cork County","Number","83"
"Persons aged 30-39 years","2022","Rathclarin, Cork County","Number","59"
"Persons aged 30-39 years","2022","Rathcool, Cork County","Number","64"
"Persons aged 30-39 years","2022","Rathcooney, Cork County","Number","37"
"Persons aged 30-39 years","2022","Rathcormack, Cork County","Number","366"
"Persons aged 30-39 years","2022","Rathluirc, Cork County","Number","662"
"Persons aged 30-39 years","2022","Riverstown, Cork County","Number","88"
"Persons aged 30-39 years","2022","Roskeen, Cork County","Number","55"
"Persons aged 30-39 years","2022","Rosnalee, Cork County","Number","50"
"Persons aged 30-39 years","2022","Rosscarbery, Cork County","Number","145"
"Persons aged 30-39 years","2022","Rossmore, Cork County","Number","47"
"Persons aged 30-39 years","2022","Rostellan, Cork County","Number","138"
"Persons aged 30-39 years","2022","Rowls, Cork County","Number","19"
"Persons aged 30-39 years","2022","Scart, Cork County","Number","31"
"Persons aged 30-39 years","2022","Seefin, Cork County","Number","30"
"Persons aged 30-39 years","2022","Shanballymore, Cork County","Number","67"
"Persons aged 30-39 years","2022","Sheepshead, Cork County","Number","10"
"Persons aged 30-39 years","2022","Shreelane, Cork County","Number","42"
"Persons aged 30-39 years","2022","Skagh, Cork County","Number","67"
"Persons aged 30-39 years","2022","Skahanagh, Cork County","Number","11"
"Persons aged 30-39 years","2022","Skibbereen Rural, Cork County","Number","126"
"Persons aged 30-39 years","2022","Skibbereen Urban, Cork County","Number","452"
"Persons aged 30-39 years","2022","Skull, Cork County","Number","90"
"Persons aged 30-39 years","2022","Slievereagh, Cork County","Number","134"
"Persons aged 30-39 years","2022","Springfort, Cork County","Number","59"
"Persons aged 30-39 years","2022","Streamhill, Cork County","Number","15"
"Persons aged 30-39 years","2022","Teadies, Cork County","Number","153"
"Persons aged 30-39 years","2022","Teerelton, Cork County","Number","69"
"Persons aged 30-39 years","2022","Templebodan, Cork County","Number","73"
"Persons aged 30-39 years","2022","Templebreedy, Cork County","Number","571"
"Persons aged 30-39 years","2022","Templemartin, Cork County","Number","85"
"Persons aged 30-39 years","2022","Templemary, Cork County","Number","51"
"Persons aged 30-39 years","2022","Templemichael, Cork County","Number","94"
"Persons aged 30-39 years","2022","Templemolaga, Cork County","Number","50"
"Persons aged 30-39 years","2022","Templenacarriga, Cork County","Number","66"
"Persons aged 30-39 years","2022","Templeomalus, Cork County","Number","90"
"Persons aged 30-39 years","2022","Timoleague, Cork County","Number","84"
"Persons aged 30-39 years","2022","Tincoora, Cork County","Number","68"
"Persons aged 30-39 years","2022","Toormore, Cork County","Number","19"
"Persons aged 30-39 years","2022","Tullagh, Cork County","Number","76"
"Persons aged 30-39 years","2022","Tullylease, Cork County","Number","59"
"Persons aged 30-39 years","2022","Ullanes, Cork County","Number","78"
"Persons aged 30-39 years","2022","Wallstown, Cork County","Number","31"
"Persons aged 30-39 years","2022","Warrenscourt, Cork County","Number","98"
"Persons aged 30-39 years","2022","Watergrasshill, Cork County","Number","355"
"Persons aged 30-39 years","2022","Whiddy/Bantry Rural, Cork County","Number","107"
"Persons aged 30-39 years","2022","Whitechurch, Cork County","Number","197"
"Persons aged 30-39 years","2022","Williamstown, Cork County","Number","57"
"Persons aged 30-39 years","2022","Woodfort, Cork County","Number","40"
"Persons aged 30-39 years","2022","Youghal Rural, Cork County","Number","152"
"Persons aged 30-39 years","2022","Youghal Urban, Cork County","Number","929"
"Persons aged 30-39 years","2022","Abbeydorney, Kerry","Number","156"
"Persons aged 30-39 years","2022","Aghadoe, Kerry","Number","97"
"Persons aged 30-39 years","2022","Aglish, Kerry","Number","57"
"Persons aged 30-39 years","2022","Arabela, Kerry","Number","209"
"Persons aged 30-39 years","2022","Ardagh, Kerry","Number","84"
"Persons aged 30-39 years","2022","Ardea, Kerry","Number","18"
"Persons aged 30-39 years","2022","Ardfert, Kerry","Number","150"
"Persons aged 30-39 years","2022","Astee, Kerry","Number","45"
"Persons aged 30-39 years","2022","Bahaghs, Kerry","Number","24"
"Persons aged 30-39 years","2022","Ballincloher, Kerry","Number","40"
"Persons aged 30-39 years","2022","Ballinskelligs, Kerry","Number","42"
"Persons aged 30-39 years","2022","Ballinvoher, Kerry","Number","65"
"Persons aged 30-39 years","2022","Ballybrack, Kerry","Number","11"
"Persons aged 30-39 years","2022","Ballyconry, Kerry","Number","39"
"Persons aged 30-39 years","2022","Ballyduff, Kerry, 077015","Number","94"
"Persons aged 30-39 years","2022","Ballyduff, Kerry, 077016","Number","15"
"Persons aged 30-39 years","2022","Ballyegan, Kerry, 077017","Number","25"
"Persons aged 30-39 years","2022","Ballyegan, Kerry, 077018","Number","4"
"Persons aged 30-39 years","2022","Ballyhar, Kerry","Number","15"
"Persons aged 30-39 years","2022","Ballyheige, Kerry","Number","168"
"Persons aged 30-39 years","2022","Ballyhorgan, Kerry","Number","40"
"Persons aged 30-39 years","2022","Ballynacourty, Kerry","Number","28"
"Persons aged 30-39 years","2022","Ballynahaglish, Kerry","Number","137"
"Persons aged 30-39 years","2022","Ballynorig, Kerry","Number","53"
"Persons aged 30-39 years","2022","Ballyseedy, Kerry","Number","213"
"Persons aged 30-39 years","2022","Banawn, Kerry","Number","27"
"Persons aged 30-39 years","2022","Banna, Kerry","Number","90"
